"Month","Day","Demand"
"January",1,2
"January",2,1.15
"January",3,1.11
"January",4,1.26
"January",5,1.48
"January",6,1.63
"January",7,1.19
"January",8,1
"January",9,1.15
"January",10,1.11
"January",11,1.26
"January",12,1.48
"January",13,1.63
"January",14,1.19
"January",15,1
"January",16,1.15
"January",17,1.11
"January",18,1.26
"January",19,1.48
"January",20,1.63
"January",21,1.19
"January",22,1
"January",23,1.15
"January",24,1.11
"January",25,1.26
"January",26,1.48
"January",27,1.63
"January",28,1.19
"January",29,1
"January",30,1.15
"January",31,1.11
"February",1,1.26
"February",2,1.48
"February",3,1.63
"February",4,1.19
"February",5,1
"February",6,1.15
"February",7,1.11
"February",8,1.26
"February",9,1.48
"February",10,1.63
"February",11,1.19
"February",12,1
"February",13,1.15
"February",14,1.11
"February",15,1.26
"February",16,1.48
"February",17,1.63
"February",18,1.19
"February",19,1
"February",20,1.15
"February",21,1.11
"February",22,1.26
"February",23,1.48
"February",24,1.63
"February",25,1.19
"February",26,1
"February",27,1.15
"February",28,1.11
"March",1,1.26
"March",2,1.48
"March",3,1.63
"March",4,1.19
"March",5,1
"March",6,1.15
"March",7,1.11
"March",8,1.26
"March",9,1.48
"March",10,1.63
"March",11,1.19
"March",12,1
"March",13,1.15
"March",14,1.11
"March",15,1.26
"March",16,1.48
"March",17,1.63
"March",18,1.19
"March",19,1
"March",20,1.15
"March",21,1.11
"March",22,1.26
"March",23,1.48
"March",24,1.63
"March",25,1.19
"March",26,1
"March",27,1.15
"March",28,1.11
"March",29,1.26
"March",30,1.48
"March",31,1.63
"April",1,1.19
"April",2,1
"April",3,1.15
"April",4,1.11
"April",5,1.26
"April",6,1.48
"April",7,1.63
"April",8,1.19
"April",9,1
"April",10,1.15
"April",11,1.11
"April",12,1.26
"April",13,1.48
"April",14,1.63
"April",15,1.19
"April",16,1
"April",17,1.15
"April",18,1.11
"April",19,1.26
"April",20,1.48
"April",21,1.63
"April",22,1.19
"April",23,1
"April",24,1.15
"April",25,1.11
"April",26,1.26
"April",27,1.48
"April",28,1.63
"April",29,1.19
"April",30,1
"May",1,1
"May",2,1.15
"May",3,1.11
"May",4,1.26
"May",5,1.48
"May",6,1.63
"May",7,1.19
"May",8,1
"May",9,1.15
"May",10,1.11
"May",11,1.26
"May",12,1.48
"May",13,1.63
"May",14,1.19
"May",15,1
"May",16,1.15
"May",17,1.11
"May",18,1.26
"May",19,1.48
"May",20,1.63
"May",21,1.19
"May",22,1
"May",23,1.15
"May",24,1.11
"May",25,1.26
"May",26,1.48
"May",27,1.63
"May",28,1.19
"May",29,1
"May",30,1.15
"May",31,1.11
"June",1,1.26
"June",2,1.48
"June",3,1.63
"June",4,1.19
"June",5,1
"June",6,1.15
"June",7,1.11
"June",8,1.26
"June",9,1.48
"June",10,1.63
"June",11,1.19
"June",12,1
"June",13,1.15
"June",14,1.11
"June",15,1.26
"June",16,1.48
"June",17,1.63
"June",18,1.19
"June",19,1
"June",20,1.15
"June",21,1.11
"June",22,1.26
"June",23,1.48
"June",24,1.63
"June",25,1.19
"June",26,1
"June",27,1.15
"June",28,1.11
"June",29,1.26
"June",30,1.48
"July",1,1.63
"July",2,1.19
"July",3,1
"July",4,1.15
"July",5,1.11
"July",6,1.26
"July",7,1.48
"July",8,1.63
"July",9,1.19
"July",10,1
"July",11,1.15
"July",12,1.11
"July",13,1.26
"July",14,1.48
"July",15,1.63
"July",16,1.19
"July",17,1
"July",18,1.15
"July",19,1.11
"July",20,1.26
"July",21,1.48
"July",22,1.63
"July",23,1.19
"July",24,1
"July",25,1.15
"July",26,1.11
"July",27,1.26
"July",28,1.48
"July",29,1.63
"July",30,1.19
"July",31,1
"August",1,1
"August",2,1.15
"August",3,1.11
"August",4,1.26
"August",5,1.48
"August",6,1.63
"August",7,1.19
"August",8,1
"August",9,1.15
"August",10,1.11
