,agent,iterations,total_money
1,Retail,100,5492.496861448249
2,Wholesale,100,5403.6826632371285
3,Regional Warehouse,100,5216.900737649311
4,Factory,100,5021.899633979301
5,Retail,500,6012.764383561636
6,Wholesale,500,6022.657534246576
7,Regional Warehouse,500,5328.19178082192
8,Factory,500,3582.082191780825
9,Retail,1000,6447.032876712312
10,Wholesale,1000,5795.002820385631
11,Regional Warehouse,1000,6385.938119521057
12,Factory,1000,6213.236762947116
13,Retail,1500,6391.998630136979
14,Wholesale,1500,6372.027397260253
15,Regional Warehouse,1500,6159.260273972596
16,Factory,1500,5972.54794520548
17,Retail,2000,5673.813698630138
18,Wholesale,2000,5460.68493150685
19,Regional Warehouse,2000,5315.753424657532
20,Factory,2000,5138.493150684931
21,Retail,2500,5691.757045547453
22,Wholesale,2500,5650.990194807993
23,Regional Warehouse,2500,5426.159523118846
24,Factory,2500,5264.478491593116
25,Retail,3500,5518.697260273973
26,Wholesale,3500,3479.4520547945226
27,Regional Warehouse,3500,5090.630136986281
28,Factory,3500,5268.547945205479
29,Retail,4000,6158.44383561644
30,Wholesale,4000,6019.616438356164
31,Regional Warehouse,4000,5877.287671232879
32,Factory,4000,5673.20547945205
33,Retail,5000,7069.480821917799
34,Wholesale,5000,7091.808219178074
35,Regional Warehouse,5000,6892.958904109591
36,Factory,5000,6118.931506849356
37,Retail,6000,7228.902739726011
38,Wholesale,6000,7177.972602739735
39,Regional Warehouse,6000,5766.520547945195
40,Factory,6000,6948.931506849313
41,Retail,7500,6456.687671232867
42,Wholesale,7500,5321.424657534242
43,Regional Warehouse,7500,5563.342465753407
44,Factory,7500,6108.739726027424
45,Retail,10000,6325.269863013691
46,Wholesale,10000,4706.602739726028
47,Regional Warehouse,10000,6171.780821917821
48,Factory,10000,6034.410958904115
49,Retail,12500,6468.01232876711
50,Wholesale,12500,6478.219178082189
51,Regional Warehouse,12500,2771.0410958904013
52,Factory,12500,6131.166238050357
53,Retail,15000,6151.110958904105
54,Wholesale,15000,6140.9041095890425
55,Regional Warehouse,15000,5951.479452054796
56,Factory,15000,5757.808219178087
57,Retail,17500,6192.935616438342
58,Wholesale,17500,4335.999999999997
59,Regional Warehouse,17500,6134.226522258211
60,Factory,17500,6034.499643386876
61,Retail,20000,6005.098630136988
62,Wholesale,20000,5874.60273972602
63,Regional Warehouse,20000,5649.97260273973
64,Factory,20000,5491.698630136986
65,Retail,25000,6521.113698630131
66,Wholesale,25000,4111.643835616427
67,Regional Warehouse,25000,6465.835616438353
68,Factory,25000,6375.424657534237
69,Retail,30000,7693.963013698633
70,Wholesale,30000,7750.356164383558
71,Regional Warehouse,30000,7623.726027397251
72,Factory,30000,7365.178082191777
73,Retail,35000,7117.980821917792
74,Wholesale,35000,7163.342465753415
75,Regional Warehouse,35000,7003.753424657534
76,Factory,35000,6813.72602739726
77,Retail,40000,6824.421917808202
78,Wholesale,40000,6899.013698630147
79,Regional Warehouse,40000,5036.136986301373
80,Factory,40000,6718.000000000005
81,Retail,45000,5882.841095890406
82,Wholesale,45000,5850.986301369864
83,Regional Warehouse,45000,5649.205479452053
84,Factory,45000,5444.164383561644
85,Retail,50000,6103.778082191772
86,Wholesale,50000,6071.616438356164
87,Regional Warehouse,50000,5899.260273972599
88,Factory,50000,5709.698630136987
89,Retail,60000,5957.687426158362
90,Wholesale,60000,5901.643781148847
91,Regional Warehouse,60000,5611.044221013255
92,Factory,60000,5495.751780394723
93,Retail,75000,6781.816438356159
94,Wholesale,75000,6859.863013698626
95,Regional Warehouse,75000,6658.849315068493
96,Factory,75000,6478.657534246572
97,Retail,100000,6646.35753424656
98,Wholesale,100000,6653.123287671244
99,Regional Warehouse,100000,6497.972602739727
100,Factory,100000,6313.397260273972
101,Retail,125000,5950.408219178083
102,Wholesale,125000,5660.273972602732
103,Regional Warehouse,125000,4450.7123287671075
104,Factory,125000,5696.328767123277
105,Retail,150000,7016.145205479449
106,Wholesale,150000,6194.027397260275
107,Regional Warehouse,150000,6915.041095890415
108,Factory,150000,6646.93150684932
109,Retail,200000,5705.82191780822
110,Wholesale,200000,4300.438356164376
111,Regional Warehouse,200000,5528.438356164364
112,Factory,200000,5264.630136986286
113,Retail,500000,6762.379452054786
114,Wholesale,500000,5352.38356164383
115,Regional Warehouse,500000,6693.75342465751
116,Factory,500000,6537.232876712309
117,Retail,1000000,6067.764383561633
118,Wholesale,1000000,-654.1917808219192
119,Regional Warehouse,1000000,6331.123287671226
120,Factory,1000000,6445.61643835618
