,iteration,strategy,agent,money
1,0,Smart,Retail,-111.67892974918797
2,0,Smart,Wholesale,426.751123890879
3,0,Smart,Regional Warehouse,398.7690948056529
4,0,Smart,Factory,-111.67892974918797
5,0,Dumb,Retail,-1024.6501663209317
6,0,Dumb,Wholesale,-5756.31382831218
7,0,Dumb,Regional Warehouse,-5890.198119994284
8,0,Dumb,Factory,-1024.6501663209317
9,0,Dumber,Retail,-6291.863362925042
10,0,Dumber,Wholesale,-5647.297202992217
11,0,Dumber,Regional Warehouse,-5840.024999249666
12,0,Dumber,Factory,-6291.863362925042
13,1,Smart,Retail,4879.337438535549
14,1,Smart,Wholesale,881.6837864244967
15,1,Smart,Regional Warehouse,319.34805669199886
16,1,Smart,Factory,4879.337438535549
17,1,Dumb,Retail,2283.3961312479673
18,1,Dumb,Wholesale,-1722.5801022510095
19,1,Dumb,Regional Warehouse,-2566.5053985462055
20,1,Dumb,Factory,2283.3961312479673
21,1,Dumber,Retail,356.4737454081811
22,1,Dumber,Wholesale,-1639.9900986197943
23,1,Dumber,Regional Warehouse,-2541.3647104971205
24,1,Dumber,Factory,356.4737454081811
25,2,Smart,Retail,2624.528733968479
26,2,Smart,Wholesale,4252.058850601905
27,2,Smart,Regional Warehouse,4572.881735407681
28,2,Smart,Factory,2624.528733968479
29,2,Dumb,Retail,944.7239629179833
30,2,Dumb,Wholesale,191.56822856195004
31,2,Dumb,Regional Warehouse,92.13825166150855
32,2,Dumb,Factory,944.7239629179833
33,2,Dumber,Retail,-1296.484084136557
34,2,Dumber,Wholesale,347.98781923169827
35,2,Dumber,Regional Warehouse,213.55897437258727
36,2,Dumber,Factory,-1296.484084136557
37,3,Smart,Retail,4628.3359103895045
38,3,Smart,Wholesale,-175.00690040740537
39,3,Smart,Regional Warehouse,6329.506534337743
40,3,Smart,Factory,4628.3359103895045
41,3,Dumb,Retail,1966.3934632134376
42,3,Dumb,Wholesale,-4011.8230914175642
43,3,Dumb,Regional Warehouse,-173.72639386251447
44,3,Dumb,Factory,1966.3934632134376
45,3,Dumber,Retail,-1170.99481547861
46,3,Dumber,Wholesale,-3925.9815596605404
47,3,Dumber,Regional Warehouse,-3.2023153781981897
48,3,Dumber,Factory,-1170.99481547861
49,4,Smart,Retail,320.72095419682734
50,4,Smart,Wholesale,322.05490488100907
51,4,Smart,Regional Warehouse,1078.2777030865198
52,4,Smart,Factory,320.72095419682734
53,4,Dumb,Retail,-588.1556289778642
54,4,Dumb,Wholesale,-4434.486035485704
55,4,Dumb,Regional Warehouse,-4123.4055206337225
56,4,Dumb,Factory,-588.1556289778642
57,4,Dumber,Retail,-4498.917515719231
58,4,Dumber,Wholesale,-4335.928232721473
59,4,Dumber,Regional Warehouse,-4063.2169407168203
60,4,Dumber,Factory,-4498.917515719231
61,0,Smart,Retail,1959.630871669291
62,0,Smart,Wholesale,5271.49957707729
63,0,Smart,Regional Warehouse,1933.161730850076
64,0,Smart,Factory,1959.630871669291
65,0,Dumb,Retail,329.87992636973956
66,0,Dumb,Wholesale,-334.5909516803353
67,0,Dumb,Regional Warehouse,-2538.558753538773
68,0,Dumb,Factory,329.87992636973956
69,0,Dumber,Retail,-2650.8899841852985
70,0,Dumber,Wholesale,-128.3195522831773
71,0,Dumber,Regional Warehouse,-2475.1640994287163
72,0,Dumber,Factory,-2650.8899841852985
73,1,Smart,Retail,1378.3361694473147
74,1,Smart,Wholesale,-21.173064513407788
75,1,Smart,Regional Warehouse,1679.4634634920947
76,1,Smart,Factory,1378.3361694473147
77,1,Dumb,Retail,-273.95534736126945
78,1,Dumb,Wholesale,-6636.047962421729
79,1,Dumb,Regional Warehouse,-6046.271211750468
80,1,Dumb,Factory,-273.95534736126945
81,1,Dumber,Retail,-5896.349059763463
82,1,Dumber,Wholesale,-6525.504934300944
83,1,Dumber,Regional Warehouse,-5953.121444569543
84,1,Dumber,Factory,-5896.349059763463
85,2,Smart,Retail,4736.561790267973
86,2,Smart,Wholesale,12744.68637355741
87,2,Smart,Regional Warehouse,1978.242408125833
88,2,Smart,Factory,4736.561790267973
89,2,Dumb,Retail,1613.623321613038
90,2,Dumb,Wholesale,4260.8787896211115
91,2,Dumb,Regional Warehouse,-3199.930277879356
92,2,Dumb,Factory,1613.623321613038
93,2,Dumber,Retail,-1428.5733788290947
94,2,Dumber,Wholesale,4634.04881965859
95,2,Dumber,Regional Warehouse,-3125.6375141387753
96,2,Dumber,Factory,-1428.5733788290947
97,3,Smart,Retail,2075.2892381671822
98,3,Smart,Wholesale,1158.7878726244844
99,3,Smart,Regional Warehouse,6044.598240749499
100,3,Smart,Factory,2075.2892381671822
101,3,Dumb,Retail,387.7276745864219
102,3,Dumb,Wholesale,-2689.4947018661446
103,3,Dumb,Regional Warehouse,505.50394335579017
104,3,Dumb,Factory,387.7276745864219
105,3,Dumber,Retail,-2365.5201073182525
106,3,Dumber,Wholesale,-2579.085284087319
107,3,Dumber,Regional Warehouse,651.4369960097358
108,3,Dumber,Factory,-2365.5201073182525
109,4,Smart,Retail,-10.917024019265135
110,4,Smart,Wholesale,-119.15711376191696
111,4,Smart,Regional Warehouse,237.22446209093835
112,4,Smart,Factory,-10.917024019265135
113,4,Dumb,Retail,-1360.4026592273906
114,4,Dumb,Wholesale,-8873.487094628843
115,4,Dumb,Regional Warehouse,-8884.75275286014
116,4,Dumb,Factory,-1360.4026592273906
117,4,Dumber,Retail,-8978.895524034919
118,4,Dumber,Wholesale,-8747.301828621517
119,4,Dumber,Regional Warehouse,-8813.095842364877
120,4,Dumber,Factory,-8978.895524034919
121,5,Smart,Retail,7004.981983071855
122,5,Smart,Wholesale,9109.857023107925
123,5,Smart,Regional Warehouse,9532.810996457025
124,5,Smart,Factory,7004.981983071855
125,5,Dumb,Retail,3209.082506799701
126,5,Dumb,Wholesale,-146.29791613156004
127,5,Dumb,Regional Warehouse,753.1317495353937
128,5,Dumb,Factory,3209.082506799701
129,5,Dumber,Retail,-1615.0887917016546
130,5,Dumber,Wholesale,172.17789372071195
131,5,Dumber,Regional Warehouse,946.9195621803417
132,5,Dumber,Factory,-1615.0887917016546
133,6,Smart,Retail,204.40643640267547
134,6,Smart,Wholesale,1664.3841449901784
135,6,Smart,Regional Warehouse,1479.0001724362971
136,6,Smart,Factory,204.40643640267547
137,6,Dumb,Retail,-742.0773835028994
138,6,Dumb,Wholesale,-4370.056809891434
139,6,Dumb,Regional Warehouse,-4528.884280813319
140,6,Dumb,Factory,-742.0773835028994
141,6,Dumber,Retail,-5487.90171856082
142,6,Dumber,Wholesale,-4240.21299793191
