,iteracion,agente,estrategia,desempeño
3,0,Fábrica,Nadie óptima,0.0
4,0,Fábrica,Un agente óptimo,1.071369727229004
5,0,Fábrica,Todos óptima,1.4753560252803712
9,0,Almacén Regional,Nadie óptima,0.0
10,0,Almacén Regional,Un agente óptimo,0.060697797336555614
11,0,Almacén Regional,Todos óptima,3.0894477735116253
15,0,Menudeo,Nadie óptima,0.0
16,0,Menudeo,Un agente óptimo,1.071369727229004
17,0,Menudeo,Todos óptima,1.4753560252803712
21,0,Mayoreo,Nadie óptima,0.0
22,0,Mayoreo,Un agente óptimo,0.03755116900672421
23,0,Mayoreo,Todos óptima,1.4893737163059482
27,1,Fábrica,Nadie óptima,0.0
28,1,Fábrica,Un agente óptimo,0.71581138335094
29,1,Fábrica,Todos óptima,2.2133654104212317
33,1,Almacén Regional,Nadie óptima,0.0
34,1,Almacén Regional,Un agente óptimo,0.026954008772741296
35,1,Almacén Regional,Todos óptima,2.087817388747985
39,1,Menudeo,Nadie óptima,0.0
40,1,Menudeo,Un agente óptimo,0.71581138335094
41,1,Menudeo,Todos óptima,2.2133654104212317
45,1,Mayoreo,Nadie óptima,0.0
46,1,Mayoreo,Un agente óptimo,0.07205050029641481
47,1,Mayoreo,Todos óptima,1.4590493790253323
51,2,Fábrica,Nadie óptima,0.0
52,2,Fábrica,Un agente óptimo,1.9540431202122237
53,2,Fábrica,Todos óptima,3.407804346856165
57,2,Almacén Regional,Nadie óptima,0.0
58,2,Almacén Regional,Un agente óptimo,0.4549958724958233
63,2,Menudeo,Nadie óptima,0.0
64,2,Menudeo,Un agente óptimo,1.9540431202122237
65,2,Menudeo,Todos óptima,3.407804346856165
69,2,Mayoreo,Nadie óptima,0.0
70,2,Mayoreo,Un agente óptimo,0.07499370384641066
71,2,Mayoreo,Todos óptima,2.8340098359018846
75,3,Fábrica,Nadie óptima,0.0
76,3,Fábrica,Un agente óptimo,4.730363006210929
81,3,Almacén Regional,Nadie óptima,0.0
82,3,Almacén Regional,Un agente óptimo,0.0825761857440196
83,3,Almacén Regional,Todos óptima,2.1962198851326313
87,3,Menudeo,Nadie óptima,0.0
88,3,Menudeo,Un agente óptimo,4.730363006210929
93,3,Mayoreo,Nadie óptima,0.0
94,3,Mayoreo,Un agente óptimo,0.0961166252923152
95,3,Mayoreo,Todos óptima,2.298960546383172
99,4,Fábrica,Nadie óptima,0.0
100,4,Fábrica,Un agente óptimo,0.950201017569199
101,4,Fábrica,Todos óptima,1.3054240212009756
