Month,Day,Supply
January,1,0
January,2,0
January,3,29
January,4,30
January,5,20
January,6,27
January,7,21
January,8,25
January,9,28
January,10,23
January,11,20
January,12,29
January,13,25
January,14,25
January,15,21
January,16,22
January,17,23
January,18,24
January,19,21
January,20,27
January,21,22
January,22,29
January,23,25
January,24,0
January,25,0
January,26,0
January,27,0
January,28,0
January,29,0
January,30,0
January,31,0
February,1,0
February,2,0
February,3,0
February,4,0
February,5,0
February,6,0
February,7,0
February,8,0
February,9,0
February,10,0
February,11,0
February,12,0
February,13,0
February,14,0
February,15,0
February,16,0
February,17,0
February,18,0
February,19,0
February,20,0
February,21,0
February,22,0
February,23,0
February,24,0
February,25,0
February,26,0
February,27,0
February,28,0
March,1,0
March,2,0
March,3,0
March,4,0
March,5,0
March,6,0
March,7,0
March,8,0
March,9,0
March,10,0
March,11,0
March,12,0
March,13,0
March,14,0
March,15,0
March,16,0
March,17,0
March,18,0
March,19,0
March,20,0
March,21,0
March,22,0
March,23,0
March,24,21
March,25,24
March,26,27
March,27,22
March,28,23
March,29,30
March,30,20
March,31,28
April,1,22
April,2,24
April,3,24
April,4,22
April,5,22
April,6,20
April,7,28
April,8,30
April,9,22
April,10,29
April,11,21
April,12,23
April,13,20
April,14,0
April,15,0
April,16,0
April,17,0
April,18,0
April,19,0
April,20,0
April,21,0
April,22,0
April,23,0
April,24,0
April,25,0
April,26,0
April,27,0
April,28,0
April,29,0
April,30,0
May,1,0
May,2,0
May,3,0
May,4,0
May,5,0
May,6,0
May,7,0
May,8,0
May,9,134
May,10,129
May,11,170
May,12,136
May,13,121
May,14,142
May,15,134
May,16,138
May,17,189
May,18,104
May,19,118
May,20,161
May,21,127
May,22,0
May,23,0
May,24,0
May,25,0
May,26,0
May,27,0
May,28,0
May,29,0
May,30,0
May,31,0
June,1,0
June,2,0
June,3,0
June,4,0
June,5,0
June,6,0
June,7,0
June,8,0
June,9,0
June,10,0
June,11,0
June,12,0
June,13,0
June,14,0
June,15,0
June,16,0
June,17,0
June,18,0
June,19,0
June,20,0
June,21,0
June,22,0
June,23,0
June,24,0
June,25,0
June,26,0
June,27,0
June,28,0
June,29,0
June,30,0
July,1,0
July,2,0
July,3,0
July,4,0
July,5,0
July,6,0
July,7,0
July,8,0
July,9,0
July,10,0
July,11,0
July,12,0
July,13,0
July,14,0
July,15,0
July,16,0
July,17,0
July,18,0
July,19,0
July,20,0
July,21,0
July,22,0
July,23,0
July,24,0
July,25,0
July,26,0
July,27,0
July,28,0
July,29,0
July,30,0
July,31,0
August,1,0
August,2,0
August,3,0
August,4,0
August,5,0
August,6,0
August,7,0
August,8,0
August,9,0
August,10,0
August,11,0
August,12,0
August,13,0
August,14,0
August,15,0
August,16,0
August,17,0
August,18,0
August,19,0
August,20,0
August,21,0
August,22,0
August,23,0
August,24,0
August,25,0
August,26,0
August,27,0
August,28,0
August,29,0
August,30,0
August,31,0
September,1,0
September,2,0
September,3,0
September,4,0
September,5,0
September,6,0
September,7,0
September,8,0
September,9,0
September,10,0
September,11,0
September,12,0
September,13,0
September,14,0
September,15,0
September,16,0
September,17,0
September,18,0
September,19,0
September,20,0
September,21,0
September,22,0
September,23,0
September,24,0
September,25,0
September,26,0
September,27,0
September,28,0
September,29,0
September,30,0
October,1,0
October,2,0
October,3,0
October,4,0
October,5,0
October,6,0
October,7,0
October,8,0
October,9,0
October,10,0
October,11,0
October,12,0
October,13,0
October,14,0
October,15,0
October,16,0
October,17,0
October,18,0
October,19,0
October,20,0
October,21,0
October,22,0
October,23,0
October,24,0
October,25,0
October,26,17
October,27,46
October,28,31
October,29,88
October,30,51
October,31,67
November,1,67
November,2,77
November,3,44
November,4,85
November,5,51
November,6,82
November,7,13
November,8,41
November,9,81
November,10,0
November,11,0
November,12,0
November,13,0
November,14,0
November,15,0
November,16,0
November,17,0
November,18,0
November,19,0
November,20,0
November,21,0
November,22,0
November,23,0
November,24,0
November,25,0
November,26,0
November,27,0
November,28,0
November,29,0
November,30,0
December,1,0
December,2,0
December,3,0
December,4,0
December,5,0
December,6,0
December,7,0
December,8,0
December,9,0
December,10,0
December,11,0
December,12,0
December,13,0
December,14,0
December,15,0
December,16,0
December,17,0
December,18,0
December,19,0
December,20,0
December,21,0
December,22,0
December,23,0
December,24,0
December,25,0
December,26,0
December,27,0
December,28,0
December,29,0
December,30,0
December,31,0
