,agent,iterations,total_money,current_payout
1,Retail,10000,2851.7904109589,2851.7904109589
2,Wholesale,10000,4589.7260273972615,4589.7260273972615
3,Regional Warehouse,10000,4468.205479452063,4468.205479452063
4,Factory,10000,4265.356164383562,4265.356164383562
5,Retail,20000,3343.8438356164265,3343.8438356164265
6,Wholesale,20000,5178.205479452057,5178.205479452057
7,Regional Warehouse,20000,5033.342465753427,5033.342465753427
8,Factory,20000,4743.164383561643,4743.164383561643
9,Retail,30000,4703.968493150696,4703.968493150696
10,Wholesale,30000,6492.863013698624,6492.863013698624
11,Regional Warehouse,30000,6288.657534246572,6288.657534246572
12,Factory,30000,6154.958904109585,6154.958904109585
13,Retail,40000,4567.1397260273725,4567.1397260273725
14,Wholesale,40000,6354.520547945211,6354.520547945211
15,Regional Warehouse,40000,6126.958904109588,6126.958904109588
16,Factory,40000,5956.904109589041,5956.904109589041
17,Retail,50000,5122.912328767111,5122.912328767111
18,Wholesale,50000,6811.4246575342495,6811.4246575342495
19,Regional Warehouse,50000,6647.23287671234,6647.23287671234
20,Factory,50000,6579.80821917808,6579.80821917808
21,Retail,60000,4424.215068493156,4424.215068493156
22,Wholesale,60000,5083.01369863012,5083.369863013682
23,Regional Warehouse,60000,5919.506849315064,5919.61643835616
24,Factory,60000,6037.972602739736,6037.972602739736
25,Retail,70000,4513.579452054787,4513.579452054787
26,Wholesale,70000,6179.452054794521,6179.452054794521
27,Regional Warehouse,70000,6062.917808219181,6062.917808219181
28,Factory,70000,5866.0,5866.0
29,Retail,80000,4459.59589041095,4459.59589041095
30,Wholesale,80000,6211.698630136984,6211.698630136984
31,Regional Warehouse,80000,5867.410958904105,5867.410958904105
32,Factory,80000,5761.246575342465,5761.246575342465
33,Retail,90000,5196.950684931506,5196.950684931506
34,Wholesale,90000,7048.589041095889,7048.589041095889
35,Regional Warehouse,90000,6908.082191780827,6908.082191780827
36,Factory,90000,6644.150684931507,6644.150684931507
37,Retail,100000,3970.2808219178055,3970.2808219178055
38,Wholesale,100000,5727.342465753417,5727.342465753417
39,Regional Warehouse,100000,4648.054794520523,4648.4109589040845
40,Factory,100000,4550.561643835591,4550.972602739701
41,Retail,110000,4363.813698630137,4363.813698630137
42,Wholesale,110000,6124.46575342466,6124.46575342466
43,Regional Warehouse,110000,5764.547945205505,5764.630136986327
44,Factory,110000,5788.698630136988,5788.698630136988
45,Retail,120000,5060.119178082187,5060.119178082187
46,Wholesale,120000,6282.739726027394,6282.958904109586
47,Regional Warehouse,120000,6716.232876712322,6716.232876712322
48,Factory,120000,6675.506849315042,6675.506849315042
49,Retail,130000,3998.7698630137033,3998.7698630137033
50,Wholesale,130000,5079.082191780825,5079.273972602743
51,Regional Warehouse,130000,5312.945205479452,5312.945205479452
52,Factory,130000,5365.164383561642,5365.164383561642
53,Retail,140000,4126.645205479461,4126.645205479461
54,Wholesale,140000,5854.863013698651,5854.863013698651
55,Regional Warehouse,140000,5633.835616438359,5633.835616438359
56,Factory,140000,5527.136986301367,5527.136986301367
57,Retail,150000,4596.680821917802,4596.680821917802
58,Wholesale,150000,6441.05479452056,6441.05479452056
59,Regional Warehouse,150000,6106.136986301369,6106.136986301369
60,Factory,150000,6033.068493150686,6033.068493150686
61,Retail,160000,4650.349315068485,4650.349315068485
62,Wholesale,160000,6442.2328767123245,6442.2328767123245
63,Regional Warehouse,160000,6321.849315068496,6321.849315068496
64,Factory,160000,6061.890410958904,6061.890410958904
65,Retail,170000,4033.9260273972545,4033.9260273972545
66,Wholesale,170000,4683.205479452043,4683.616438356153
67,Regional Warehouse,170000,5832.246575342466,5832.246575342466
68,Factory,170000,5575.356164383566,5575.356164383566
69,Retail,180000,4220.246575342457,4220.246575342457
70,Wholesale,180000,5314.243418433315,5314.50154963519
71,Regional Warehouse,180000,5936.577229467642,5936.604626727915
72,Factory,180000,5814.675645895942,5814.675645895942
73,Retail,190000,4732.720547945195,4732.720547945195
74,Wholesale,190000,6657.917808219163,6657.917808219163
75,Regional Warehouse,190000,5547.9178082192,5548.19178082194
76,Factory,190000,6179.479452054813,6179.479452054813
77,Retail,200000,4306.549315068491,4306.549315068491
78,Wholesale,200000,5969.410958904109,5969.410958904109
79,Regional Warehouse,200000,5826.726027397261,5826.726027397261
80,Factory,200000,5652.876712328767,5652.876712328767
81,Retail,210000,4592.5780821917915,4592.5780821917915
82,Wholesale,210000,5714.958904109594,5715.20547945206
83,Regional Warehouse,210000,5925.47945205478,5925.589041095876
84,Factory,210000,6095.849315068481,6095.849315068481
85,Retail,220000,5414.324657534244,5414.324657534244
86,Wholesale,220000,7276.945205479448,7276.945205479448
87,Regional Warehouse,220000,7165.958904109586,7165.958904109586
88,Factory,220000,5492.904109589049,5493.53424657535
89,Retail,230000,4262.33561643835,4262.33561643835
90,Wholesale,230000,6024.7671232876755,6024.7671232876755
91,Regional Warehouse,230000,5928.219178082204,5928.219178082204
92,Factory,230000,5738.3972602739705,5738.3972602739705
93,Retail,240000,4469.921917808217,4469.921917808217
94,Wholesale,240000,5841.794520547937,5841.958904109581
95,Regional Warehouse,240000,6113.808219178063,6113.808219178063
96,Factory,240000,5984.178082191768,5984.178082191768
97,Retail,250000,4420.591780821913,4420.591780821913
98,Wholesale,250000,4688.150684931499,4688.643835616431
99,Regional Warehouse,250000,6125.821917808211,6125.821917808211
100,Factory,250000,5780.054794520549,5780.054794520549
101,Retail,260000,5043.96301369863,5043.96301369863
102,Wholesale,260000,5223.97945205479,5224.47260273972
103,Regional Warehouse,260000,7187.328767123285,7187.438356164381
104,Factory,260000,7314.534246575327,7314.561643835601
105,Retail,270000,5342.668493150683,5342.668493150683
106,Wholesale,270000,5759.808219178069,5760.301369863
107,Regional Warehouse,270000,7151.328767123297,7151.328767123297
108,Factory,270000,7005.821917808217,7005.821917808217
109,Retail,280000,4157.968493150679,4157.968493150679
110,Wholesale,280000,4125.6164383561445,4126.164383561624
111,Regional Warehouse,280000,5792.534246575385,5792.561643835658
112,Factory,280000,5778.602739726025,5778.602739726025
113,Retail,290000,4014.2986301369833,4014.2986301369833
114,Wholesale,290000,5516.794520547948,5516.87671232877
115,Regional Warehouse,290000,5177.79452054796,5177.958904109604
116,Factory,290000,5514.6164383561645,5514.6164383561645
