,iteration,smart_agent,strategy,agent,money
1,0,retail,Smart,Retail,566.595365530947
2,0,retail,Smart,Wholesale,-39.9092855560499
3,0,retail,Smart,Regional Warehouse,1954.1378984206967
4,0,retail,Smart,Factory,566.595365530947
5,0,retail,Dumb,Retail,-863.117981986225
6,0,retail,Dumb,Wholesale,-7634.89385267114
7,0,retail,Dumb,Regional Warehouse,-6761.894033485517
8,0,retail,Dumb,Factory,-863.117981986225
9,0,retail,Dumber,Retail,-7409.848406040301
10,0,retail,Dumber,Wholesale,-7517.4745292000225
11,0,retail,Dumber,Regional Warehouse,-6656.087536332748
12,0,retail,Dumber,Factory,-7409.848406040301
13,1,retail,Smart,Retail,7922.719643200667
14,1,retail,Smart,Wholesale,3510.6158317646236
15,1,retail,Smart,Regional Warehouse,7420.737972356554
16,1,retail,Smart,Factory,7922.719643200667
17,1,retail,Dumb,Retail,3826.3209120721954
18,1,retail,Dumb,Wholesale,-3552.89381717729
19,1,retail,Dumb,Regional Warehouse,-788.0681744655144
20,1,retail,Dumb,Factory,3826.3209120721954
21,1,retail,Dumber,Retail,-804.123897712365
22,1,retail,Dumber,Wholesale,-3359.1916813745024
23,1,retail,Dumber,Regional Warehouse,-612.8101871790446
24,1,retail,Dumber,Factory,-804.123897712365
25,2,retail,Smart,Retail,9574.01503231252
26,2,retail,Smart,Wholesale,13301.824474702473
27,2,retail,Smart,Regional Warehouse,14461.857485187455
28,2,retail,Smart,Factory,9574.01503231252
29,2,retail,Dumb,Retail,4153.465441573405
30,2,retail,Dumb,Wholesale,2637.778434180245
31,2,retail,Dumb,Regional Warehouse,2800.6639698651243
32,2,retail,Dumb,Factory,4153.465441573405
33,2,retail,Dumber,Retail,-1016.6430911293373
34,2,retail,Dumber,Wholesale,3026.250317431564
35,2,retail,Dumber,Regional Warehouse,3147.484395305831
36,2,retail,Dumber,Factory,-1016.6430911293373
37,3,retail,Smart,Retail,3883.413736928725
38,3,retail,Smart,Wholesale,7752.3964204624235
39,3,retail,Smart,Regional Warehouse,1830.5424519063304
40,3,retail,Smart,Factory,3883.413736928725
41,3,retail,Dumb,Retail,603.964122976188
42,3,retail,Dumb,Wholesale,-3584.2239626183273
43,3,retail,Dumb,Regional Warehouse,-8059.62106735331
44,3,retail,Dumb,Factory,603.964122976188
45,3,retail,Dumber,Retail,-6946.595545647145
46,3,retail,Dumber,Wholesale,-3291.2110236368726
47,3,retail,Dumber,Regional Warehouse,-7956.913132950475
48,3,retail,Dumber,Factory,-6946.595545647145
49,4,retail,Smart,Retail,12495.302253087084
50,4,retail,Smart,Wholesale,19005.750837278767
51,4,retail,Smart,Regional Warehouse,7388.40120944923
52,4,retail,Smart,Factory,12495.302253087084
53,4,retail,Dumb,Retail,6088.868659027864
54,4,retail,Dumb,Wholesale,7523.049371793175
55,4,retail,Dumb,Regional Warehouse,3.672899988905506
56,4,retail,Dumb,Factory,6088.868659027864
57,4,retail,Dumber,Retail,2580.808941064158
58,4,retail,Dumber,Wholesale,8055.6631653224795
59,4,retail,Dumber,Regional Warehouse,174.4886406765878
60,4,retail,Dumber,Factory,2580.808941064158
61,5,retail,Smart,Retail,8775.086924458428
62,5,retail,Smart,Wholesale,6579.604547856865
63,5,retail,Smart,Regional Warehouse,4097.120653153148
64,5,retail,Smart,Factory,8775.086924458428
65,5,retail,Dumb,Retail,4381.038735195433
66,5,retail,Dumb,Wholesale,-158.44774703037783
67,5,retail,Dumb,Regional Warehouse,-2916.0059020812787
68,5,retail,Dumb,Factory,4381.038735195433
69,5,retail,Dumber,Retail,144.3565213277355
70,5,retail,Dumber,Wholesale,40.28859782524903
71,5,retail,Dumber,Regional Warehouse,-2795.4409897038217
72,5,retail,Dumber,Factory,144.3565213277355
73,6,retail,Smart,Retail,7460.280021936667
74,6,retail,Smart,Wholesale,1090.9584286816375
75,6,retail,Smart,Regional Warehouse,1227.1620312607904
76,6,retail,Smart,Factory,7460.280021936667
77,6,retail,Dumb,Retail,3024.53054817923
78,6,retail,Dumb,Wholesale,-7156.271658978945
79,6,retail,Dumb,Regional Warehouse,-7603.6947716464365
80,6,retail,Dumb,Factory,3024.53054817923
81,6,retail,Dumber,Retail,-3928.8985753648667
82,6,retail,Dumber,Wholesale,-7019.912279509558
83,6,retail,Dumber,Regional Warehouse,-7532.598457295826
84,6,retail,Dumber,Factory,-3928.8985753648667
85,7,retail,Smart,Retail,8610.318051159904
86,7,retail,Smart,Wholesale,13662.54258837564
87,7,retail,Smart,Regional Warehouse,9995.751435071961
88,7,retail,Smart,Factory,8610.318051159904
89,7,retail,Dumb,Retail,3823.8452030830967
90,7,retail,Dumb,Wholesale,1095.3519735168677
91,7,retail,Dumb,Regional Warehouse,-1176.4026670017288
92,7,retail,Dumb,Factory,3823.8452030830967
93,7,retail,Dumber,Retail,-2343.933794289704
94,7,retail,Dumber,Wholesale,1539.0974516960412
95,7,retail,Dumber,Regional Warehouse,-930.2104265956293
96,7,retail,Dumber,Factory,-2343.933794289704
97,8,retail,Smart,Retail,3725.699622929803
98,8,retail,Smart,Wholesale,4375.496671143216
99,8,retail,Smart,Regional Warehouse,10320.24936205432
100,8,retail,Smart,Factory,3725.699622929803
101,8,retail,Dumb,Retail,1493.8783678811026
102,8,retail,Dumb,Wholesale,591.0537821728522
103,8,retail,Dumb,Regional Warehouse,4004.544281904625
104,8,retail,Dumb,Factory,1493.8783678811026
105,8,retail,Dumber,Retail,-260.8769280222326
106,8,retail,Dumber,Wholesale,756.00677446804
107,8,retail,Dumber,Regional Warehouse,4248.994525068728
108,8,retail,Dumber,Factory,-260.8769280222326
109,9,retail,Smart,Retail,545.8919061189297
110,9,retail,Smart,Wholesale,578.8072749297094
111,9,retail,Smart,Regional Warehouse,891.9298320833664
