,iteracion,agente,estrategia,desempeño
4,0,Fábrica,Nadie aprendió,0.0
5,0,Fábrica,Solo otro agente aprendió,0.9161365109143081
6,0,Fábrica,Solo este agente aprendió,1.465700249917621
7,0,Fábrica,Todos aprendieron,2.1165737684092987
12,0,Almacén Regional,Nadie aprendió,0.0
13,0,Almacén Regional,Solo otro agente aprendió,0.6625304177367333
14,0,Almacén Regional,Solo este agente aprendió,0.2873473903147169
15,0,Almacén Regional,Todos aprendieron,2.762545725150848
20,0,Menudeo,Nadie aprendió,0.0
21,0,Menudeo,Solo otro agente aprendió,1.451695598781009
22,0,Menudeo,Solo este agente aprendió,0.9301411620509203
23,0,Menudeo,Todos aprendieron,2.1165737684092987
28,0,Mayoreo,Nadie aprendió,0.0
29,0,Mayoreo,Solo otro agente aprendió,0.0824603099696138
30,0,Mayoreo,Solo este agente aprendió,0.8736265704281156
31,0,Mayoreo,Todos aprendieron,1.7911291452122773
36,1,Fábrica,Nadie aprendió,0.0
37,1,Fábrica,Solo otro agente aprendió,2.99974005168021
38,1,Fábrica,Solo este agente aprendió,1.761229998026447
44,1,Almacén Regional,Nadie aprendió,0.0
46,1,Almacén Regional,Solo este agente aprendió,-7.99738090377561
52,1,Menudeo,Nadie aprendió,0.0
53,1,Menudeo,Solo otro agente aprendió,2.953485717412855
54,1,Menudeo,Solo este agente aprendió,1.807484332293802
60,1,Mayoreo,Nadie aprendió,0.0
61,1,Mayoreo,Solo otro agente aprendió,-0.7691669409386996
62,1,Mayoreo,Solo este agente aprendió,1.645090595809435
63,1,Mayoreo,Todos aprendieron,3.934494146340575
68,2,Fábrica,Nadie aprendió,0.0
69,2,Fábrica,Solo otro agente aprendió,1.2999586768831464
70,2,Fábrica,Solo este agente aprendió,1.123536575234045
71,2,Fábrica,Todos aprendieron,2.2180874011844023
76,2,Almacén Regional,Nadie aprendió,0.0
77,2,Almacén Regional,Solo otro agente aprendió,2.520922324669034
78,2,Almacén Regional,Solo este agente aprendió,-7.834112971715844
84,2,Menudeo,Nadie aprendió,0.0
85,2,Menudeo,Solo otro agente aprendió,1.1356104132608524
86,2,Menudeo,Solo este agente aprendió,1.2878848388563389
87,2,Menudeo,Todos aprendieron,2.2180874011844023
92,2,Mayoreo,Nadie aprendió,0.0
93,2,Mayoreo,Solo otro agente aprendió,0.8563478509147441
94,2,Mayoreo,Solo este agente aprendió,0.04012524312310329
95,2,Mayoreo,Todos aprendieron,3.6283520295832883
100,3,Fábrica,Nadie aprendió,0.0
101,3,Fábrica,Solo otro agente aprendió,1.2342966205903942
102,3,Fábrica,Solo este agente aprendió,1.2452715666216008
103,3,Fábrica,Todos aprendieron,2.304672815610526
108,3,Almacén Regional,Nadie aprendió,0.0
109,3,Almacén Regional,Solo otro agente aprendió,0.7393909199865131
110,3,Almacén Regional,Solo este agente aprendió,0.1987328678444482
111,3,Almacén Regional,Todos aprendieron,3.0756702673145466
116,3,Menudeo,Nadie aprendió,0.0
117,3,Menudeo,Solo otro agente aprendió,1.4321551720309096
118,3,Menudeo,Solo este agente aprendió,1.0474130151810854
119,3,Menudeo,Todos aprendieron,2.304672815610526
124,3,Mayoreo,Nadie aprendió,0.0
125,3,Mayoreo,Solo otro agente aprendió,-0.2670804935692612
126,3,Mayoreo,Solo este agente aprendió,1.1793084554031215
127,3,Mayoreo,Todos aprendieron,3.064940920029137
132,4,Fábrica,Nadie aprendió,0.0
140,4,Almacén Regional,Nadie aprendió,0.0
141,4,Almacén Regional,Solo otro agente aprendió,0.3954626488820667
142,4,Almacén Regional,Solo este agente aprendió,-1.5830107874043875
148,4,Menudeo,Nadie aprendió,0.0
156,4,Mayoreo,Nadie aprendió,0.0
157,4,Mayoreo,Solo otro agente aprendió,-0.10968063689024432
158,4,Mayoreo,Solo este agente aprendió,-0.9761549746486593
159,4,Mayoreo,Todos aprendieron,1.9578942985493832
164,5,Fábrica,Nadie aprendió,0.0
165,5,Fábrica,Solo otro agente aprendió,1.5892319320830428
166,5,Fábrica,Solo este agente aprendió,1.2583735074830131
167,5,Fábrica,Todos aprendieron,3.095798116488289
172,5,Almacén Regional,Nadie aprendió,0.0
173,5,Almacén Regional,Solo otro agente aprendió,-0.5190986474058936
174,5,Almacén Regional,Solo este agente aprendió,1.258056013362721
180,5,Menudeo,Nadie aprendió,0.0
181,5,Menudeo,Solo otro agente aprendió,1.3148629356369268
182,5,Menudeo,Solo este agente aprendió,1.532742503929129
183,5,Menudeo,Todos aprendieron,3.095798116488289
188,5,Mayoreo,Nadie aprendió,0.0
189,5,Mayoreo,Solo otro agente aprendió,1.6205518747033218
190,5,Mayoreo,Solo este agente aprendió,-0.8172609129457031
