,agent,day,inventory,purchase,r_s_a,q_s_a
1,Retail,1,30.0,20,-1700.0,-1700.0
2,Wholesale,1,0.0,86,1062.0,1062.0
3,Regional_Warehouse,1,0.0,55,898.0,898.0
4,Factory,1,0.0,38,524.0,524.0
5,Retail,2,24.25,11,574.1780821917807,574.1780821917807
6,Wholesale,2,0.0,56,-198.0,-198.0
7,Regional_Warehouse,2,0.0,84,-30.0,-30.0
8,Factory,2,0.0,89,-128.0,-128.0
9,Retail,3,18.7,75,554.3356164383562,554.3356164383562
10,Wholesale,3,0.0,92,-48.0,-48.0
11,Regional_Warehouse,3,0.0,55,-68.0,-68.0
12,Factory,3,0.0,62,-56.0,-56.0
13,Retail,4,12.399999999999999,73,629.4876712328767,629.4876712328767
14,Wholesale,4,0.0,95,-194.0,-194.0
15,Regional_Warehouse,4,0.0,57,-32.0,-32.0
16,Factory,4,0.0,34,-122.0,-122.0
17,Retail,5,4.999999999999998,34,739.6602739726028,739.6602739726028
18,Wholesale,5,0.0,94,-64.0,-64.0
19,Regional_Warehouse,5,0.0,59,-132.0,-132.0
20,Factory,5,0.0,62,-196.0,-196.0
21,Retail,6,0.0,37,493.5630136986299,493.5630136986299
22,Wholesale,6,0.0,90,-196.0,-196.0
23,Regional_Warehouse,6,0.0,3,-96.0,-96.0
24,Factory,6,0.0,71,-148.0,-148.0
25,Retail,7,0.0,47,-11.900000000000091,-11.900000000000091
26,Wholesale,7,0.0,29,-170.0,-170.0
27,Regional_Warehouse,7,0.0,72,-12.0,-12.0
28,Factory,7,0.0,5,-68.0,-68.0
29,Retail,8,0.0,77,-10.0,-10.0
30,Wholesale,8,0.0,99,-102.0,-102.0
31,Regional_Warehouse,8,0.0,90,-156.0,-156.0
32,Factory,8,0.0,44,-4.0,-4.0
33,Retail,9,0.0,35,-11.5,-11.5
34,Wholesale,9,0.0,71,-194.0,-194.0
35,Regional_Warehouse,9,0.0,76,-126.0,-126.0
36,Factory,9,0.0,41,-42.0,-42.0
37,Retail,10,0.0,19,-11.099999999999909,-11.099999999999909
38,Wholesale,10,0.0,48,-136.0,-136.0
39,Regional_Warehouse,10,0.0,50,-142.0,-142.0
40,Factory,10,0.0,24,-54.0,-54.0
41,Retail,11,0.0,66,-12.599999999999909,-12.599999999999909
42,Wholesale,11,0.0,92,-14.0,-14.0
43,Regional_Warehouse,11,0.0,64,-186.0,-186.0
44,Factory,11,0.0,8,-198.0,-198.0
45,Retail,12,0.0,9,-14.799999999999955,-14.799999999999955
46,Wholesale,12,0.0,99,-126.0,-126.0
47,Regional_Warehouse,12,0.0,21,-94.0,-94.0
48,Factory,12,0.0,63,-88.0,-88.0
49,Retail,13,0.0,53,-16.299999999999955,-16.299999999999955
50,Wholesale,13,0.0,98,-138.0,-138.0
51,Regional_Warehouse,13,0.0,76,-40.0,-40.0
52,Factory,13,0.0,60,-122.0,-122.0
53,Retail,14,0.0,60,-11.900000000000091,-11.900000000000091
54,Wholesale,14,0.0,40,-112.0,-112.0
55,Regional_Warehouse,14,0.0,8,-142.0,-142.0
56,Factory,14,0.0,81,-168.0,-168.0
57,Retail,15,0.0,36,-10.0,-10.0
58,Wholesale,15,0.0,50,-116.0,-116.0
59,Regional_Warehouse,15,0.0,98,-52.0,-52.0
60,Factory,15,0.0,69,-30.0,-30.0
61,Retail,16,0.0,10,-11.5,-11.5
62,Wholesale,16,0.0,87,-14.0,-14.0
63,Regional_Warehouse,16,0.0,40,-26.0,-26.0
64,Factory,16,0.0,79,-150.0,-150.0
65,Retail,17,0.0,9,-11.099999999999909,-11.099999999999909
66,Wholesale,17,0.0,67,-186.0,-186.0
67,Regional_Warehouse,17,0.0,17,-32.0,-32.0
68,Factory,17,0.0,63,-38.0,-38.0
69,Retail,18,0.0,82,-12.599999999999909,-12.599999999999909
70,Wholesale,18,0.0,25,-96.0,-96.0
71,Regional_Warehouse,18,0.0,34,-108.0,-108.0
72,Factory,18,0.0,81,-178.0,-178.0
73,Retail,19,0.0,17,-14.799999999999955,-14.799999999999955
74,Wholesale,19,0.0,25,-26.0,-26.0
75,Regional_Warehouse,19,0.0,13,-58.0,-58.0
76,Factory,19,0.0,15,-112.0,-112.0
77,Retail,20,0.0,27,-16.299999999999955,-16.299999999999955
78,Wholesale,20,0.0,92,-180.0,-180.0
79,Regional_Warehouse,20,0.0,57,-182.0,-182.0
80,Factory,20,0.0,48,-152.0,-152.0
81,Retail,21,0.0,58,-11.900000000000091,-11.900000000000091
82,Wholesale,21,0.0,28,-196.0,-196.0
83,Regional_Warehouse,21,0.0,53,-152.0,-152.0
84,Factory,21,0.0,21,-100.0,-100.0
85,Retail,22,0.0,99,-10.0,-10.0
86,Wholesale,22,0.0,66,-60.0,-60.0
87,Regional_Warehouse,22,0.0,21,-134.0,-134.0
88,Factory,22,0.0,63,-128.0,-128.0
89,Retail,23,0.0,36,-11.5,-11.5
90,Wholesale,23,0.0,69,-182.0,-182.0
91,Regional_Warehouse,23,0.0,79,-114.0,-114.0
92,Factory,23,0.0,58,-152.0,-152.0
93,Retail,24,0.0,53,-11.099999999999909,-11.099999999999909
94,Wholesale,24,0.0,40,-26.0,-26.0
95,Regional_Warehouse,24,0.0,66,-182.0,-182.0
96,Factory,24,0.0,94,-80.0,-80.0
97,Retail,25,0.0,46,-12.599999999999909,-12.599999999999909
98,Wholesale,25,0.0,97,-112.0,-112.0
99,Regional_Warehouse,25,0.0,88,-78.0,-78.0
100,Factory,25,0.0,16,-100.0,-100.0
101,Retail,26,0.0,46,-14.799999999999955,-14.799999999999955
102,Wholesale,26,0.0,40,-56.0,-56.0
103,Regional_Warehouse,26,0.0,11,-158.0,-158.0
104,Factory,26,0.0,7,-168.0,-168.0
105,Retail,27,0.0,63,-16.299999999999955,-16.299999999999955
106,Wholesale,27,0.0,48,-46.0,-46.0
107,Regional_Warehouse,27,0.0,40,-120.0,-120.0
108,Factory,27,0.0,82,-182.0,-182.0
109,Retail,28,0.0,9,-11.899999999999977,-11.899999999999977
110,Wholesale,28,0.0,3,-158.0,-158.0
111,Regional_Warehouse,28,0.0,69,-40.0,-40.0
112,Factory,28,0.0,86,-142.0,-142.0
113,Retail,29,0.0,65,-10.0,-10.0
114,Wholesale,29,0.0,88,-166.0,-166.0
115,Regional_Warehouse,29,0.0,14,-6.0,-6.0
116,Factory,29,0.0,26,-90.0,-90.0
117,Retail,30,0.0,75,-11.5,-11.5
118,Wholesale,30,0.0,13,-74.0,-74.0
119,Regional_Warehouse,30,0.0,64,-88.0,-88.0
120,Factory,30,0.0,33,-186.0,-186.0
