,agent,day,inventory,purchase,r_s_a,q_s_a
0,Retail,1,10.0,10,81.0,0.0
1,Retail,1,10.0,20,97.0,0.0
2,Retail,1,10.0,30,44.0,0.0
3,Retail,1,10.0,40,5.0,0.0
4,Retail,2,20.0,10,16.0,0.0
5,Retail,2,30.0,10,76.0,0.0
6,Retail,2,40.0,10,36.0,0.0
7,Retail,2,50.0,10,29.0,0.0
8,Retail,10,100.0,20,81.0,0.0
9,Retail,10,100.0,40,97.0,0.0
10,Retail,10,100.0,30,44.0,0.0
11,Retail,10,100.0,15,5.0,0.0
12,Retail,11,120.0,10,16.0,0.0
13,Retail,11,120.0,25,76.0,0.0
14,Retail,11,140.0,10,36.0,0.0
15,Retail,11,140.0,25,29.0,0.0
16,Wholesale,1,10.0,10,81.0,0.0
17,Wholesale,1,10.0,20,97.0,0.0
18,Wholesale,1,10.0,30,44.0,0.0
19,Wholesale,1,10.0,40,5.0,0.0
20,Wholesale,2,20.0,10,16.0,0.0
21,Wholesale,2,30.0,10,76.0,0.0
22,Wholesale,2,40.0,10,36.0,0.0
23,Wholesale,2,50.0,10,29.0,0.0
24,Wholesale,10,100.0,20,81.0,0.0
25,Wholesale,10,100.0,40,97.0,0.0
26,Wholesale,10,100.0,30,44.0,0.0
27,Wholesale,10,100.0,15,5.0,0.0
28,Wholesale,11,120.0,10,16.0,0.0
29,Wholesale,11,120.0,25,76.0,0.0
30,Wholesale,11,140.0,10,36.0,0.0
31,Wholesale,11,140.0,25,29.0,0.0
32,Regional_Warehouse,1,10.0,10,81.0,0.0
33,Regional_Warehouse,1,10.0,20,97.0,0.0
34,Regional_Warehouse,1,10.0,30,44.0,0.0
35,Regional_Warehouse,1,10.0,40,5.0,0.0
36,Regional_Warehouse,2,20.0,10,16.0,0.0
37,Regional_Warehouse,2,30.0,10,76.0,0.0
38,Regional_Warehouse,2,40.0,10,36.0,0.0
39,Regional_Warehouse,2,50.0,10,29.0,0.0
40,Regional_Warehouse,10,100.0,20,81.0,0.0
41,Regional_Warehouse,10,100.0,40,97.0,0.0
42,Regional_Warehouse,10,100.0,30,44.0,0.0
43,Regional_Warehouse,10,100.0,15,5.0,0.0
44,Regional_Warehouse,11,120.0,10,16.0,0.0
45,Regional_Warehouse,11,120.0,25,76.0,0.0
46,Regional_Warehouse,11,140.0,10,36.0,0.0
47,Regional_Warehouse,11,140.0,25,29.0,0.0
48,Factory,1,10.0,10,81.0,0.0
49,Factory,1,10.0,20,97.0,0.0
50,Factory,1,10.0,30,44.0,0.0
51,Factory,1,10.0,40,5.0,0.0
52,Factory,2,20.0,10,16.0,0.0
53,Factory,2,30.0,10,76.0,0.0
54,Factory,2,40.0,10,36.0,0.0
55,Factory,2,50.0,10,29.0,0.0
56,Factory,10,100.0,20,81.0,0.0
57,Factory,10,100.0,40,97.0,0.0
58,Factory,10,100.0,30,44.0,0.0
59,Factory,10,100.0,15,5.0,0.0
60,Factory,11,120.0,10,16.0,0.0
61,Factory,11,120.0,25,76.0,0.0
62,Factory,11,140.0,10,36.0,0.0
63,Factory,11,140.0,25,29.0,0.0
65,Retail,1,30.0,20,-1700.0,-1700.0
69,Retail,2,24.25,11,574.1780821917807,574.1780821917807
73,Retail,3,18.7,75,554.3356164383562,554.3356164383562
77,Retail,4,12.399999999999999,73,629.4876712328767,629.4876712328767
81,Retail,5,4.999999999999998,34,739.6602739726028,739.6602739726028
1157,Retail,261,113.61304414616059,17,591.7243001603783,591.7243001603783
1161,Wholesale,229,0.0,24,-52.0,-52.0
1218,Retail,220,31.772155183227213,99,-751.3782211546459,-751.3782211546459
1332,Wholesale,236,0.0,91,50.0,50.0
1334,Wholesale,223,0.0,70,-52.0,-52.0
1474,Retail,218,1.6745257866519037,0,814.7308349099549,814.7308349099549
1217,Retail,228,121.30790509205477,37,-544.871884848777,-544.871884848777
968,Retail,247,141.38880858862842,13,-938.5709262627024,-938.5709262627024
482,Retail,230,77.13873409024053,38,-451.95722559151363,-451.95722559151363
243,Retail,246,41.491496326079755,37,813.6399590047649,813.6399590047649
103,Retail,216,21.15,0,-900.2863013698629,-900.2863013698629
91,Retail,233,52.24702970997184,50,-396.2930693071221,-396.2930693071221
88,Retail,247,0.0,61,0.10000000000002274,0.10000000000002274
87,Factory,253,0.0,2,-38.0,-38.0
86,Factory,365,0.0,42,-74.0,-74.0
85,Retail,257,0.0,80,-11.099999999999994,-11.099999999999994
