,0
0,60
1,0
2,0
3,33
4,0
5,0
6,33
7,22
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,64
17,65
18,0
19,0
20,71
21,17
22,0
23,0
24,0
25,44
26,0
27,0
28,0
29,5
30,0
31,67
32,0
33,0
34,28
35,0
36,0
37,0
38,0
39,0
40,0
41,44
42,27
43,0
44,0
45,0
46,68
47,41
48,11
49,0
50,37
51,50
52,0
53,43
54,7
55,0
56,0
57,48
58,0
59,60
60,0
61,0
62,12
63,9
64,14
65,47
66,0
67,0
68,0
69,0
70,0
71,0
72,30
73,0
74,0
75,0
76,0
77,56
78,0
79,0
80,0
81,12
82,0
83,41
84,0
85,0
86,0
87,52
88,0
89,0
90,0
91,0
92,0
93,12
94,0
95,72
96,9
97,0
98,0
99,0
100,2
101,42
102,66
103,0
104,0
105,11
106,0
107,68
108,29
109,3
110,0
111,35
112,0
113,0
114,0
115,33
116,66
117,0
118,0
119,37
120,0
121,0
122,0
123,0
124,65
125,59
126,0
127,65
128,19
129,0
130,54
131,60
132,65
133,0
134,43
135,6
136,0
137,3
138,0
139,53
140,4
141,0
142,0
143,0
144,0
145,0
146,36
147,0
148,47
149,0
150,0
151,53
152,0
153,0
154,39
155,53
156,43
157,55
158,0
159,0
160,24
161,44
162,0
163,0
164,0
165,0
166,60
167,0
168,21
169,0
170,0
171,0
172,37
173,0
174,0
175,2
176,71
177,20
178,0
179,1
180,52
181,0
182,55
183,11
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,46
193,0
194,0
195,0
196,0
197,74
198,13
199,7
200,0
201,0
202,53
203,0
204,0
205,4
206,3
207,0
208,15
209,10
210,0
211,10
212,19
213,0
214,0
215,48
216,12
217,15
218,56
219,6
220,17
221,28
222,40
223,44
224,29
225,53
226,13
227,25
228,3
229,20
230,21
231,20
232,0
233,17
234,12
235,31
236,9
237,19
238,10
239,24
240,27
241,39
242,61
243,20
244,0
245,71
246,0
247,24
248,5
249,9
250,17
251,56
252,0
253,0
254,0
255,7
256,35
257,22
258,25
259,0
260,0
261,34
262,27
263,25
264,35
265,0
266,55
267,0
268,14
269,0
270,39
271,9
272,0
273,18
274,0
275,0
276,0
277,0
278,0
279,66
280,34
281,0
282,23
283,0
284,69
285,0
286,20
287,9
288,0
289,28
290,50
291,46
292,61
293,0
294,0
295,69
296,0
297,0
298,0
299,0
300,29
301,0
302,0
303,0
304,0
305,36
306,4
307,36
308,28
309,73
310,6
311,67
312,16
313,0
314,62
315,0
316,0
317,0
318,0
319,0
320,0
321,56
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,63
330,0
331,64
332,0
333,0
334,0
335,0
336,31
337,74
338,0
339,0
340,34
341,37
342,0
343,74
344,0
345,0
346,0
347,0
348,0
349,73
350,0
351,0
352,0
353,0
354,20
355,53
356,58
357,0
358,0
359,0
360,0
361,0
362,0
363,33
364,0
