,0
0,0
1,43
2,58
3,53
4,28
5,64
6,54
7,9
8,30
9,28
10,36
11,13
12,7
13,54
14,67
15,32
16,0
17,46
18,36
19,33
20,0
21,0
22,72
23,71
24,0
25,0
26,0
27,26
28,38
29,3
30,12
31,38
32,15
33,0
34,44
35,36
36,54
37,29
38,56
39,64
40,58
41,33
42,50
43,41
44,10
45,74
46,0
47,22
48,0
49,56
50,11
51,28
52,38
53,66
54,0
55,62
56,0
57,52
58,6
59,0
60,37
61,64
62,34
63,38
64,61
65,9
66,52
67,63
68,52
69,32
70,0
71,65
72,71
73,62
74,16
75,13
76,14
77,14
78,23
79,49
80,41
81,36
82,1
83,31
84,0
85,0
86,41
87,35
88,5
89,0
90,67
91,73
92,26
93,24
94,0
95,2
96,0
97,0
98,0
99,10
100,45
101,44
102,18
103,16
104,0
105,0
106,11
107,12
108,34
109,20
110,19
111,0
112,53
113,40
114,0
115,15
116,4
117,67
118,23
119,7
120,45
121,26
122,0
123,31
124,53
125,0
126,70
127,0
128,34
129,34
130,4
131,0
132,53
133,28
134,0
135,44
136,66
137,25
138,29
139,0
140,72
141,7
142,51
143,5
144,44
145,29
146,0
147,27
148,55
149,16
150,48
151,21
152,28
153,67
154,5
155,12
156,56
157,19
158,4
159,12
160,44
161,56
162,48
163,6
164,63
165,70
166,10
167,0
168,22
169,41
170,49
171,12
172,43
173,4
174,49
175,8
176,59
177,37
178,7
179,19
180,0
181,7
182,29
183,71
184,0
185,42
186,58
187,4
188,13
189,31
190,63
191,56
192,35
193,63
194,0
195,58
196,39
197,10
198,64
199,41
200,3
201,29
202,2
203,62
204,49
205,42
206,63
207,36
208,42
209,31
210,48
211,37
212,28
213,6
214,58
215,71
216,30
217,13
218,0
219,27
220,20
221,56
222,11
223,42
224,7
225,38
226,33
227,60
228,2
229,42
230,61
231,55
232,69
233,15
234,54
235,60
236,14
237,21
238,41
239,42
240,9
241,68
242,22
243,55
244,56
245,15
246,3
247,46
248,14
249,11
250,7
251,20
252,36
253,4
254,11
255,37
256,17
257,2
258,55
259,0
260,21
261,13
262,56
263,0
264,24
265,66
266,27
267,18
268,9
269,62
270,16
271,72
272,27
273,72
274,70
275,0
276,27
277,21
278,34
279,15
280,66
281,25
282,47
283,54
284,19
285,30
286,43
287,39
288,8
289,12
290,21
291,37
292,69
293,0
294,71
295,59
296,0
297,59
298,28
299,22
300,57
301,26
302,44
303,18
304,15
305,0
306,0
307,5
308,26
309,0
310,4
311,0
312,21
313,54
314,41
315,42
316,6
317,17
318,52
319,6
320,69
321,21
322,71
323,55
324,0
325,0
326,42
327,3
328,48
329,71
330,63
331,22
332,23
333,0
334,0
335,15
336,62
337,74
338,39
339,34
340,68
341,12
342,73
343,4
344,27
345,58
346,18
347,56
348,4
349,62
350,19
351,12
352,30
353,14
354,0
355,0
356,72
357,34
358,57
359,49
360,43
361,37
362,74
363,15
364,32
