,0
0,17
1,63
2,0
3,68
4,48
5,32
6,0
7,0
8,0
9,12
10,40
11,58
12,37
13,72
14,0
15,35
16,0
17,32
18,58
19,45
20,66
21,0
22,72
23,20
24,0
25,8
26,38
27,0
28,10
29,40
30,47
31,58
32,68
33,0
34,70
35,0
36,26
37,0
38,72
39,0
40,49
41,0
42,4
43,13
44,0
45,0
46,15
47,20
48,72
49,51
50,0
51,53
52,0
53,12
54,42
55,0
56,0
57,17
58,20
59,0
60,61
61,0
62,0
63,0
64,48
65,0
66,6
67,0
68,44
69,0
70,0
71,0
72,30
73,0
74,0
75,0
76,34
77,0
78,45
79,0
80,0
81,36
82,0
83,0
84,11
85,0
86,36
87,0
88,0
89,16
90,0
91,0
92,7
93,37
94,41
95,0
96,13
97,0
98,2
99,52
100,0
101,0
102,0
103,57
104,0
105,55
106,57
107,28
108,0
109,37
110,0
111,40
112,0
113,32
114,0
115,66
116,5
117,0
118,43
119,53
120,5
121,25
122,0
123,68
124,0
125,0
126,23
127,0
128,28
129,70
130,0
131,0
132,0
133,30
134,38
135,0
136,40
137,60
138,47
139,0
140,33
141,29
142,29
143,73
144,0
145,54
146,0
147,25
148,70
149,58
150,0
151,13
152,32
153,0
154,7
155,0
156,64
157,0
158,0
159,34
160,18
161,19
162,74
163,19
164,69
165,34
166,0
167,30
168,63
169,49
170,0
171,15
172,0
173,51
174,47
175,68
176,0
177,6
178,33
179,0
180,28
181,0
182,42
183,32
184,0
185,21
186,26
187,57
188,10
189,0
190,0
191,70
192,17
193,18
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,64
202,49
203,59
204,58
205,8
206,44
207,20
208,17
209,63
210,42
211,0
212,45
213,65
214,0
215,55
216,20
217,71
218,7
219,6
220,74
221,24
222,10
223,14
224,12
225,4
226,9
227,3
228,19
229,42
230,11
231,24
232,12
233,39
234,40
235,11
236,25
237,35
238,33
239,71
240,20
241,8
242,9
243,12
244,30
245,3
246,0
247,27
248,29
249,0
250,18
251,5
252,29
253,0
254,32
255,0
256,25
257,54
258,4
259,36
260,0
261,0
262,0
263,45
264,0
265,28
266,37
267,54
268,9
269,35
270,16
271,58
272,0
273,68
274,5
275,40
276,0
277,68
278,65
279,0
280,0
281,27
282,0
283,56
284,36
285,0
286,0
287,0
288,54
289,69
290,0
291,0
292,68
293,42
294,0
295,0
296,0
297,39
298,49
299,48
300,0
301,68
302,6
303,70
304,50
305,17
306,0
307,35
308,36
309,7
310,11
311,0
312,0
313,71
314,60
315,0
316,0
317,7
318,0
319,0
320,0
321,53
322,14
323,0
324,0
325,0
326,1
327,33
328,0
329,0
330,0
331,30
332,0
333,60
334,0
335,0
336,24
337,0
338,60
339,0
340,0
341,0
342,71
343,4
344,24
345,46
346,16
347,26
348,7
349,46
350,58
351,0
352,34
353,17
354,0
355,47
356,4
357,25
358,64
359,0
360,8
361,0
362,1
363,0
364,19
