,0
0,20
1,0
2,0
3,41
4,71
5,1
6,0
7,3
8,0
9,0
10,48
11,10
12,0
13,0
14,19
15,0
16,0
17,17
18,0
19,15
20,0
21,0
22,46
23,68
24,43
25,59
26,12
27,65
28,57
29,8
30,0
31,27
32,0
33,53
34,8
35,42
36,15
37,69
38,0
39,58
40,62
41,0
42,5
43,72
44,0
45,0
46,47
47,0
48,0
49,74
50,17
51,0
52,5
53,12
54,0
55,0
56,69
57,46
58,20
59,25
60,0
61,37
62,0
63,0
64,50
65,25
66,48
67,0
68,16
69,37
70,17
71,65
72,37
73,74
74,14
75,27
76,0
77,42
78,26
79,17
80,4
81,39
82,1
83,20
84,70
85,0
86,6
87,0
88,42
89,23
90,11
91,34
92,35
93,63
94,59
95,2
96,22
97,0
98,38
99,23
100,69
101,69
102,0
103,73
104,29
105,27
106,0
107,72
108,0
109,0
110,73
111,15
112,32
113,59
114,27
115,7
116,9
117,64
118,22
119,0
120,31
121,0
122,0
123,20
124,28
125,34
126,54
127,0
128,65
129,0
130,72
131,0
132,13
133,0
134,0
135,58
136,0
137,0
138,0
139,0
140,0
141,0
142,68
143,0
144,68
145,21
146,0
147,0
148,0
149,0
150,1
151,69
152,67
153,0
154,31
155,0
156,69
157,67
158,15
159,26
160,0
161,62
162,58
163,56
164,48
165,0
166,16
167,12
168,32
169,0
170,44
171,62
172,0
173,4
174,44
175,0
176,20
177,2
178,3
179,50
180,0
181,63
182,60
183,14
184,53
185,28
186,69
187,49
188,73
189,50
190,0
191,0
192,25
193,51
194,0
195,24
196,70
197,49
198,24
199,28
200,0
201,0
202,70
203,0
204,73
205,0
206,4
207,12
208,50
209,0
210,6
211,0
212,7
213,48
214,31
215,9
216,1
217,39
218,31
219,26
220,30
221,33
222,33
223,74
224,1
225,36
226,17
227,21
228,23
229,54
230,74
231,29
232,13
233,15
234,16
235,16
236,58
237,66
238,32
239,39
240,19
241,9
242,7
243,20
244,74
245,1
246,3
247,0
248,20
249,0
250,35
251,54
252,2
253,29
254,40
255,0
256,4
257,51
258,9
259,0
260,0
261,33
262,59
263,18
264,0
265,6
266,53
267,0
268,66
269,0
270,41
271,15
272,20
273,48
274,61
275,0
276,41
277,0
278,21
279,0
280,0
281,28
282,0
283,0
284,0
285,0
286,13
287,49
288,65
289,0
290,26
291,0
292,16
293,0
294,59
295,34
296,25
297,0
298,0
299,0
300,45
301,13
302,41
303,59
304,71
305,0
306,20
307,28
308,0
309,0
310,68
311,0
312,0
313,0
314,53
315,18
316,30
317,27
318,6
319,31
320,60
321,20
322,19
323,31
324,0
325,16
326,0
327,61
328,0
329,15
330,30
331,0
332,0
333,3
334,0
335,39
336,59
337,13
338,0
339,50
340,17
341,60
342,23
343,30
344,60
345,0
346,0
347,52
348,0
349,73
350,0
351,64
352,34
353,0
354,74
355,72
356,74
357,0
358,0
359,11
360,0
361,61
362,39
363,0
364,45
